x @  cent_trace_len @  decent_trace_len @  odecent_trace_len @  cent_num_mess @  decent_num_mess @  odecent_num_mess @  cent_size_mess @  decent_size_mess @  odecent_size_mess @  cent_nb_progressions @  decent_nb_progressions @  odecent_nb_progressions @  formula @  trace
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "b") @ { | |c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b| } ; {a|b| } ; {a|b| } ; {a|b| } ; {a| |c} ; { |b|c} ; { | | } ; {a| | } ; { | |c} ; {a| | } ; {a|b|c} ; {a|b| } ; { | | } ; { |b| } ; {a|b| } ; { |b| } ; {a|b| } ; { | |c} ; { | | } ; { | | } ; { | | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b| } ; { | |c} ; { | |c} ; { | |c} ; {a|b|c} ; { |b| } ; { |b| } ; { |b| } ; { | | } ; { | |c} ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; { | | } ; {a|b| } ; {a|b| } ; { |b| } ; {a| | } ; {a|b| } ; { |b| } ; { | | } ; { |b|c} ; { |b| } ; {a|b|c} ; { |b| } ; {a|b| } ; { | |c} ; {a| | } ; { | |c} ; { | | } ; {a| |c} ; { |b|c} ; {a|b|c} ; {a| |c} ; { | | } ; {a| |c} ; { | |c} ; {a|b|c} ; { |b|c} ; { |b| } ; { | | } ; {a| | } ; { | | } ; { |b| } ; { | | } ; { |b| } ; { | |c} ; { | |c} ; { | | } ; {a| |c} ; { | | } ; {a| |c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { | | } ; { |b| } ; {a| | } ; { | |c} ; {a| | } ; {a| | } ; { |b| } ; { |b| } ; { |b| } ; { | | } ; { | | } ; {a| |c} ; {a| | } ; {a| | } ; { | | } ; { |b| } ; {a|b| }
2 @ 7 @ 9 @ 8 @ 18 @ 4 @ 7 @ 1. @ 1.33 @ 2.19 @ 35 @ 73 @ 44 @ Glob (Or (Var "b", Var "c")) @ { | |c} ; {a|b|c} ; {a| |c} ; { | |c} ; {a| |c} ; {a| |c} ; {a| | } ; {a|b| } ; { | |c} ; {a| |c} ; { | | } ; {a| |c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; { |b|c} ; { | |c} ; {a| |c} ; {a|b| } ; { |b| } ; {a|b| } ; {a|b| } ; {a|b|c} ; { |b|c} ; { | |c} ; {a| |c} ; { |b|c} ; {a| | } ; { |b|c} ; { |b| } ; { |b|c} ; {a| |c} ; {a| |c} ; {a| | } ; {a|b| } ; { |b|c} ; {a|b| } ; {a| |c} ; {a| | } ; { |b| } ; { |b|c} ; {a| | } ; {a| | } ; {a|b|c} ; { | | } ; { | |c} ; {a| |c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { | | } ; {a| | } ; { | |c} ; {a| |c} ; { | |c} ; { | |c} ; { | | } ; {a|b|c} ; { | |c} ; { | | } ; { | | } ; { | |c} ; { | | } ; {a|b|c} ; {a|b| } ; { |b|c} ; { |b|c} ; {a| |c} ; { |b| } ; { | |c} ; { | | } ; { | |c} ; { |b| } ; {a| |c} ; {a|b| } ; {a| |c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a|b| } ; { |b| } ; {a|b| } ; { |b|c} ; { |b| } ; { |b|c} ; {a| | } ; {a| | } ; { | |c} ; {a| | } ; {a| | } ; {a| | } ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; {a|b| } ; {a| | } ; { |b|c} ; { |b|c}
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 1.06 @ 0. @ 27 @ 42 @ 27 @ Ev (Next (Var "c")) @ {a| | } ; { | | } ; { | | } ; { |b| } ; { |b|c} ; { | |c} ; {a| | } ; { |b|c} ; { | | } ; { | | } ; { |b| } ; {a| | } ; {a| | } ; { | | } ; {a|b| } ; { |b| } ; { |b|c} ; {a|b| } ; { |b| } ; { | |c} ; { |b|c} ; { |b| } ; { |b| } ; { | |c} ; { |b|c} ; {a| | } ; { |b|c} ; { | | } ; { | | } ; { |b|c} ; {a| |c} ; {a|b| } ; { |b|c} ; {a| |c} ; { | |c} ; {a| |c} ; { |b| } ; {a| | } ; { | |c} ; {a| | } ; {a|b|c} ; { | |c} ; { | | } ; {a| | } ; { |b| } ; { |b|c} ; {a|b| } ; { | | } ; { | |c} ; { | |c} ; {a| | } ; { |b|c} ; {a| |c} ; { |b|c} ; { | |c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b| } ; { |b|c} ; { | | } ; { |b|c} ; {a|b|c} ; { | |c} ; {a| |c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { |b| } ; {a| | } ; { | | } ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b| } ; { |b| } ; {a| | } ; {a|b| } ; { | |c} ; {a|b|c} ; { |b| } ; { | |c} ; { |b| } ; { |b| } ; { |b| } ; { |b| } ; { | |c} ; {a|b|c} ; { |b|c} ; { | | } ; { | | } ; { |b| } ; {a|b| } ; { | | } ; { | |c}
2 @ 5 @ 7 @ 6 @ 12 @ 7 @ 5 @ 1. @ 4.44 @ 2. @ 25 @ 120 @ 32 @ Glob (Until (Var "a", Var "b")) @ {a| | } ; {a|b|c} ; {a| |c} ; {a| | } ; { | |c} ; { |b|c} ; { |b| } ; { |b| } ; { |b| } ; { |b|c} ; { | |c} ; { |b|c} ; { | |c} ; { |b| } ; {a|b|c} ; { | | } ; { | |c} ; {a| |c} ; {a| |c} ; { | |c} ; { | | } ; { | |c} ; { | | } ; { | |c} ; { |b| } ; { | | } ; { |b| } ; {a| |c} ; { | |c} ; { | |c} ; { |b| } ; { |b|c} ; {a|b|c} ; {a| | } ; {a| | } ; { | |c} ; { |b|c} ; { | | } ; { |b| } ; {a| | } ; { | |c} ; {a|b|c} ; {a|b|c} ; { | | } ; {a|b| } ; {a|b|c} ; { |b| } ; { |b| } ; {a| |c} ; {a|b| } ; { | | } ; {a|b| } ; { | | } ; {a| | } ; {a|b|c} ; { |b| } ; {a|b|c} ; { | |c} ; {a|b|c} ; {a|b| } ; { | | } ; {a|b|c} ; { |b| } ; { | |c} ; { | | } ; { |b| } ; { | | } ; { | |c} ; {a|b|c} ; {a|b| } ; { |b|c} ; { |b| } ; { |b| } ; {a| | } ; {a| |c} ; { |b| } ; {a| |c} ; { | |c} ; { |b| } ; {a| | } ; {a|b|c} ; { | |c} ; { | |c} ; {a|b|c} ; {a| |c} ; { |b| } ; { | | } ; {a|b|c} ; {a|b| } ; {a|b| } ; { | | } ; {a|b| } ; { |b| } ; { | | } ; {a|b| } ; {a|b| } ; { |b| } ; {a| |c} ; { |b| } ; { |b| } ; {a| |c}
2 @ 6 @ 7 @ 6 @ 15 @ 2 @ 0 @ 1. @ 0.55 @ 0. @ 12 @ 20 @ 12 @ Ev (Var "b") @ {a| | } ; {a| |c} ; {a| |c} ; { | | } ; {a| |c} ; { |b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b| } ; {a|b|c} ; {a|b|c} ; { | | } ; {a|b| } ; { |b| } ; {a| |c} ; {a|b|c} ; {a| | } ; { | |c} ; {a| |c} ; { |b| } ; { | |c} ; { | |c} ; { | |c} ; {a|b|c} ; {a| |c} ; { | | } ; { |b| } ; {a|b| } ; { | |c} ; { | | } ; {a|b|c} ; { |b| } ; { |b|c} ; { |b|c} ; { |b| } ; {a| | } ; { | | } ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { |b| } ; {a|b|c} ; { | | } ; { | | } ; {a| |c} ; { | | } ; {a|b| } ; {a| | } ; { | | } ; { |b|c} ; { | | } ; { |b| } ; {a|b| } ; {a| | } ; {a|b|c} ; { |b| } ; { | |c} ; {a| | } ; {a| |c} ; { |b| } ; {a| | } ; { |b| } ; {a| | } ; {a| |c} ; { |b| } ; {a| | } ; { | | } ; { |b| } ; {a| |c} ; { |b| } ; { | | } ; { | |c} ; { | | } ; {a| |c} ; { |b|c} ; {a| |c} ; {a| |c} ; { | |c} ; { |b|c} ; {a| | } ; { | | } ; {a| | } ; { |b|c} ; {a| |c} ; { | |c} ; { |b| } ; { |b|c} ; { | | } ; {a|b|c} ; { | | } ; {a|b| } ; {a| | } ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { |b|c}
2 @ 6 @ 7 @ 6 @ 15 @ 2 @ 0 @ 1. @ 0.55 @ 0. @ 12 @ 20 @ 12 @ Ev (Var "b") @ {a| | } ; { | |c} ; { | | } ; { | | } ; { | |c} ; {a|b|c} ; { |b|c} ; { |b| } ; { | | } ; { | | } ; {a|b| } ; { | |c} ; {a|b|c} ; {a| | } ; {a|b| } ; {a| | } ; {a| | } ; {a|b|c} ; { |b| } ; {a| | } ; { |b|c} ; { |b| } ; { | | } ; { |b|c} ; {a| | } ; { | |c} ; {a|b| } ; { |b| } ; {a| | } ; {a|b|c} ; {a|b|c} ; {a| |c} ; { | | } ; { |b|c} ; { | | } ; {a|b| } ; { | |c} ; {a|b|c} ; {a| | } ; { |b| } ; { | | } ; {a|b|c} ; {a|b|c} ; { |b| } ; {a|b| } ; {a| | } ; { | | } ; { |b| } ; { |b|c} ; {a| | } ; {a| |c} ; {a|b| } ; { | |c} ; { |b|c} ; { |b| } ; { |b|c} ; { | | } ; { |b| } ; {a|b|c} ; {a| |c} ; { | |c} ; {a| | } ; { | |c} ; { | | } ; { |b|c} ; {a| | } ; { |b| } ; {a| |c} ; { |b|c} ; {a| | } ; { |b| } ; { | |c} ; { | | } ; {a| | } ; { |b| } ; { |b| } ; {a|b| } ; { |b| } ; { |b| } ; { | |c} ; {a| | } ; { | | } ; {a|b|c} ; {a|b| } ; { | |c} ; { |b|c} ; { | |c} ; { | | } ; { | | } ; {a|b| } ; { | |c} ; {a|b| } ; {a|b| } ; {a|b| } ; {a|b|c} ; {a| | } ; {a| |c} ; { | | } ; { |b|c} ; {a|b|c} ; {a| |c}
2 @ 5 @ 6 @ 6 @ 12 @ 4 @ 1 @ 1. @ 1.66 @ 0.33 @ 14 @ 39 @ 20 @ And (Ev (Var "c"), Neg (Var "a")) @ { | | } ; { |b| } ; { |b| } ; { |b| } ; {a|b|c} ; { | |c} ; { |b|c} ; { | |c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; { |b|c} ; { | |c} ; { | |c} ; {a| | } ; { | |c} ; {a|b|c} ; { | |c} ; {a| |c} ; {a| | } ; {a|b|c} ; { | | } ; { | |c} ; {a|b|c} ; { | | } ; {a|b|c} ; { |b| } ; { |b|c} ; { |b|c} ; {a| | } ; { | |c} ; { | | } ; { |b| } ; { | | } ; {a| |c} ; {a| | } ; { | | } ; {a|b| } ; {a| | } ; {a| | } ; {a| |c} ; {a|b| } ; { | | } ; { |b| } ; { |b|c} ; {a| | } ; {a|b| } ; {a| |c} ; {a| |c} ; { |b| } ; { |b| } ; { | |c} ; {a| | } ; {a|b|c} ; { | | } ; {a| | } ; { | |c} ; { |b| } ; {a|b|c} ; {a| |c} ; { |b| } ; {a| | } ; { | | } ; { | | } ; {a|b|c} ; {a| | } ; {a|b| } ; {a| | } ; {a| | } ; {a| |c} ; { |b|c} ; { |b|c} ; {a|b|c} ; { | | } ; {a|b|c} ; {a|b| } ; {a| | } ; {a| |c} ; { | |c} ; { | |c} ; { |b| } ; { |b|c} ; {a| |c} ; { | |c} ; {a| | } ; {a|b|c} ; {a| | } ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a| |c} ; {a|b| } ; {a| |c} ; { | |c} ; { |b|c} ; { | |c} ; { |b|c} ; {a|b| } ; {a|b| } ; {a| | }
2 @ 9 @ 11 @ 10 @ 24 @ 7 @ 9 @ 1. @ 2.4 @ 2.29 @ 45 @ 139 @ 56 @ Glob (Until (Var "c", Var "b")) @ { |b|c} ; {a|b| } ; {a|b| } ; { | |c} ; {a|b| } ; { |b|c} ; {a| |c} ; {a|b| } ; { | | } ; {a| | } ; { | |c} ; {a|b| } ; { | |c} ; { | | } ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; {a|b|c} ; {a|b|c} ; {a| | } ; { |b| } ; { |b|c} ; { |b| } ; {a| |c} ; { | |c} ; { | | } ; { |b| } ; { |b|c} ; { | |c} ; {a|b| } ; {a| | } ; {a| |c} ; {a| | } ; { | |c} ; { | | } ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; {a|b|c} ; {a| | } ; {a|b|c} ; {a| | } ; {a|b| } ; { |b| } ; { |b|c} ; {a| |c} ; {a| | } ; { | | } ; {a|b| } ; { | | } ; {a| | } ; {a| |c} ; { |b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; { | | } ; {a|b|c} ; { | | } ; { | | } ; {a|b| } ; {a| | } ; { | | } ; {a| | } ; { | |c} ; {a|b|c} ; {a| | } ; {a|b|c} ; { | | } ; { | |c} ; {a| |c} ; {a| | } ; {a| |c} ; {a| |c} ; {a|b| } ; { |b|c} ; { | | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b| } ; { | |c} ; {a|b| } ; {a| | } ; { |b| } ; {a| | } ; { |b| } ; {a|b| } ; {a| |c} ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b| } ; { | | } ; { |b| } ; { | |c} ; { |b| } ; {a| | } ; {a|b| }
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 1.06 @ 0. @ 27 @ 42 @ 27 @ Ev (Next (Var "c")) @ { | | } ; { |b| } ; { | | } ; {a| | } ; {a| |c} ; {a| |c} ; { |b| } ; {a| |c} ; {a|b|c} ; { | |c} ; {a| |c} ; { |b|c} ; {a| |c} ; {a| |c} ; { |b| } ; { | | } ; {a| |c} ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; {a|b| } ; {a|b| } ; {a| |c} ; { | |c} ; {a| | } ; { | |c} ; { |b| } ; { | | } ; { |b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; {a|b|c} ; {a| |c} ; { |b| } ; {a| |c} ; {a|b| } ; { | | } ; {a|b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; { |b| } ; { | |c} ; { |b|c} ; { | | } ; {a| |c} ; { | | } ; {a|b| } ; { |b| } ; {a|b| } ; {a| | } ; {a|b| } ; { |b| } ; { | |c} ; {a| | } ; {a| |c} ; {a|b|c} ; { | | } ; {a| | } ; { | |c} ; {a|b|c} ; {a| |c} ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b| } ; { | |c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b| } ; {a|b| } ; { |b| } ; {a| | } ; {a|b|c} ; { | |c} ; {a| | } ; {a|b|c} ; { | | } ; {a| |c} ; { | |c} ; { | |c} ; {a|b|c} ; { | | } ; { | |c} ; {a|b| } ; { | | } ; { |b| } ; { |b| } ; {a| | } ; {a|b|c} ; {a|b| } ; {a| | } ; {a|b| } ; {a| | }
2 @ 5 @ 7 @ 6 @ 12 @ 4 @ 5 @ 1. @ 1.72 @ 2. @ 25 @ 63 @ 32 @ Glob (Or (Var "c", Var "b")) @ {a|b|c} ; { |b|c} ; { | |c} ; {a|b| } ; {a| | } ; {a| |c} ; { | | } ; { | | } ; { |b|c} ; {a|b| } ; { |b|c} ; { | | } ; { |b|c} ; {a| |c} ; {a| | } ; {a|b|c} ; { | | } ; { |b|c} ; { | |c} ; { |b|c} ; { |b|c} ; {a|b| } ; { | | } ; {a| |c} ; {a| | } ; { | |c} ; {a|b| } ; { |b|c} ; {a|b| } ; { | |c} ; {a| |c} ; { |b| } ; {a|b|c} ; { | | } ; { | | } ; {a| |c} ; {a|b| } ; { |b| } ; {a| | } ; { | |c} ; { |b|c} ; {a|b| } ; {a|b|c} ; {a| | } ; { |b|c} ; { |b|c} ; {a|b|c} ; {a|b| } ; { |b| } ; { | | } ; { | | } ; { |b|c} ; {a| | } ; {a|b|c} ; {a|b| } ; {a|b| } ; {a| |c} ; { |b| } ; { | | } ; {a| | } ; { | | } ; { |b| } ; { |b| } ; { | | } ; { |b|c} ; { |b| } ; { | | } ; {a|b|c} ; { |b| } ; { |b|c} ; { |b|c} ; { |b| } ; {a|b|c} ; {a| | } ; {a|b| } ; { |b| } ; { |b|c} ; { | |c} ; {a| | } ; { |b|c} ; { |b|c} ; { | |c} ; { |b| } ; { | | } ; { |b|c} ; { | | } ; { |b| } ; { | | } ; { |b|c} ; { | | } ; {a|b| } ; {a|b|c} ; {a| | } ; { | |c} ; {a| |c} ; {a| |c} ; { | |c} ; { |b| } ; { | |c} ; { |b|c} ; {a|b| }
2 @ 5 @ 6 @ 5 @ 12 @ 6 @ 2 @ 1. @ 5.33 @ 0.83 @ 33 @ 101 @ 35 @ And (Or (Ev (Neg (Var "b")), And (Var "b", Var "c")), Or (Or (Neg (Var "b"), Neg (Var "c")), Glob (Var "b"))) @ { |b| } ; {a|b| } ; { |b| } ; {a|b| } ; {a| | } ; {a| | } ; {a|b|c} ; {a| | } ; {a| |c} ; {a| | } ; {a| |c} ; {a|b|c} ; { | | } ; { |b| } ; { |b| } ; { | | } ; { |b| } ; {a|b|c} ; {a| | } ; {a| | } ; {a| | } ; {a| |c} ; { |b| } ; { | |c} ; { | | } ; { |b| } ; {a|b| } ; {a| | } ; {a|b| } ; { | | } ; { | |c} ; { |b|c} ; {a| |c} ; {a|b|c} ; {a|b| } ; { | |c} ; {a|b|c} ; {a| | } ; { |b|c} ; { | |c} ; { |b| } ; {a|b|c} ; { | |c} ; {a| |c} ; {a| |c} ; { |b| } ; {a|b|c} ; { | | } ; {a| |c} ; { |b| } ; { |b| } ; { | |c} ; { |b|c} ; { |b| } ; {a| |c} ; {a|b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; {a| | } ; { | |c} ; {a| |c} ; { | |c} ; {a|b|c} ; { | | } ; {a|b|c} ; { | | } ; { | |c} ; { | | } ; { |b|c} ; { | | } ; { | | } ; {a| | } ; { |b|c} ; {a|b| } ; { | |c} ; { |b|c} ; {a|b| } ; {a| | } ; { |b| } ; {a| | } ; { |b| } ; {a|b|c} ; { |b| } ; {a| | } ; {a|b|c} ; { |b|c} ; { | | } ; { | |c} ; {a| |c} ; { | | } ; { |b| } ; {a| | } ; { | |c} ; {a|b| } ; {a| | } ; { | |c} ; { | |c} ; {a|b|c} ; {a|b|c} ; {a|b|c}
2 @ 5 @ 7 @ 6 @ 12 @ 6 @ 5 @ 1. @ 3.38 @ 2. @ 25 @ 101 @ 32 @ Glob (Until (Var "c", Var "a")) @ {a|b|c} ; { | |c} ; {a|b| } ; { |b|c} ; { | | } ; {a| |c} ; {a|b| } ; {a|b| } ; { |b|c} ; { |b|c} ; { | | } ; { |b| } ; {a| | } ; { | |c} ; {a|b|c} ; { |b| } ; { | |c} ; { |b| } ; { |b| } ; { | |c} ; { | |c} ; { | | } ; { | |c} ; { | |c} ; { | |c} ; {a| | } ; { | | } ; {a|b|c} ; {a|b| } ; { |b| } ; { | |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| |c} ; { |b| } ; { | |c} ; {a|b| } ; { | |c} ; { | | } ; { |b|c} ; { |b| } ; {a|b|c} ; {a|b| } ; { |b| } ; {a|b| } ; { | | } ; {a|b| } ; {a|b|c} ; {a|b|c} ; {a| | } ; {a|b|c} ; {a| |c} ; {a| |c} ; { |b|c} ; {a|b| } ; { | | } ; {a| |c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| | } ; { | | } ; { | |c} ; { | |c} ; { |b| } ; {a|b| } ; { |b|c} ; {a|b|c} ; {a| |c} ; { |b| } ; {a|b|c} ; {a| | } ; {a|b| } ; { |b|c} ; { |b| } ; { |b|c} ; { |b|c} ; { | |c} ; {a| |c} ; { | | } ; { | | } ; { | |c} ; {a| | } ; { | | } ; {a| | } ; {a| |c} ; {a| |c} ; {a| |c} ; { |b| } ; { | |c} ; {a| | } ; {a| | } ; { |b|c} ; { |b|c} ; { |b|c} ; { | |c} ; { |b|c} ; { |b|c} ; { |b| } ; { |b|c}
2 @ 7 @ 8 @ 7 @ 18 @ 2 @ 0 @ 1. @ 0.47 @ 0. @ 15 @ 30 @ 15 @ Next (Glob (Var "b")) @ { |b| } ; { |b| } ; {a|b|c} ; { |b|c} ; {a|b| } ; {a|b|c} ; { | |c} ; {a| | } ; {a|b| } ; { | | } ; {a| |c} ; {a| |c} ; { |b| } ; { |b| } ; {a| | } ; {a| | } ; {a| | } ; {a|b|c} ; {a| | } ; {a|b| } ; {a|b|c} ; { |b|c} ; { |b|c} ; { | | } ; {a| |c} ; {a|b|c} ; { |b|c} ; {a| |c} ; {a|b|c} ; { | | } ; { | | } ; { | | } ; {a|b| } ; {a| | } ; {a|b|c} ; { |b|c} ; { | | } ; {a| | } ; {a| | } ; { |b| } ; { | | } ; { |b| } ; { |b|c} ; {a| | } ; {a| | } ; { |b|c} ; {a|b| } ; {a| | } ; {a|b| } ; {a|b| } ; { | |c} ; { |b|c} ; { |b|c} ; { |b|c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b| } ; { |b| } ; { |b| } ; { | | } ; {a|b| } ; {a| |c} ; {a| |c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; { | | } ; {a|b| } ; {a|b| } ; {a|b| } ; {a| |c} ; { |b|c} ; {a| |c} ; { |b| } ; { |b|c} ; {a|b| } ; {a| | } ; {a|b|c} ; {a| | } ; { |b|c} ; { |b| } ; {a|b| } ; {a| |c} ; {a|b|c} ; {a| |c} ; {a| | } ; { | |c} ; {a|b| } ; {a|b| } ; {a|b| } ; { |b| } ; { | | } ; {a|b|c} ; {a|b| } ; {a|b| } ; { |b|c} ; {a| | } ; { |b| } ; { | |c} ; { |b| }
2 @ 7 @ 8 @ 7 @ 18 @ 2 @ 0 @ 1. @ 0.76 @ 0. @ 39 @ 58 @ 39 @ Ev (Next (Var "c")) @ { | | } ; {a| | } ; { | | } ; {a|b| } ; {a|b| } ; {a| | } ; {a|b|c} ; {a|b| } ; {a| |c} ; { | | } ; { | |c} ; { | | } ; {a|b|c} ; { | |c} ; { | |c} ; {a| |c} ; {a| |c} ; { |b| } ; { |b|c} ; {a| |c} ; { | | } ; { | | } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; {a|b|c} ; { |b| } ; { | |c} ; { |b| } ; { |b| } ; {a| |c} ; { |b| } ; { |b| } ; { |b| } ; {a| |c} ; { | | } ; { | | } ; { | | } ; {a| |c} ; { |b|c} ; {a|b|c} ; {a|b| } ; { | | } ; {a| | } ; { |b|c} ; {a| | } ; {a|b|c} ; { |b|c} ; {a|b| } ; { |b|c} ; { | | } ; {a| | } ; { | |c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a| | } ; {a| |c} ; { | | } ; {a| |c} ; { | | } ; { | | } ; {a| |c} ; {a|b|c} ; {a| |c} ; {a|b| } ; {a|b|c} ; { |b|c} ; { | |c} ; {a| | } ; {a|b| } ; { |b|c} ; { | |c} ; { | |c} ; {a|b|c} ; {a| | } ; {a| | } ; { | | } ; { |b| } ; { |b| } ; {a| |c} ; { |b| } ; { |b| } ; { |b| } ; { | |c} ; { | | } ; { |b|c} ; {a|b| } ; { | |c} ; {a| |c} ; { | |c} ; { |b|c} ; {a|b| } ; {a| |c} ; {a| |c} ; {a|b| } ; {a| |c} ; {a|b| } ; {a| | } ; {a| | }
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 1.06 @ 0. @ 27 @ 46 @ 27 @ Glob (Next (Var "c")) @ { | | } ; {a|b|c} ; {a| |c} ; {a| |c} ; {a|b| } ; { |b|c} ; { |b|c} ; { |b| } ; {a|b|c} ; {a| | } ; { |b| } ; { | |c} ; {a| | } ; {a| |c} ; {a| |c} ; {a| |c} ; {a| | } ; {a| |c} ; { |b|c} ; { |b| } ; {a| | } ; { |b| } ; { | | } ; { | | } ; { | |c} ; {a| |c} ; { |b|c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; {a| |c} ; {a|b|c} ; {a| |c} ; { | |c} ; { | |c} ; { |b|c} ; {a| | } ; {a| | } ; {a|b|c} ; {a|b| } ; {a| | } ; {a| |c} ; {a| |c} ; {a| | } ; {a| | } ; { |b| } ; { |b|c} ; {a| | } ; { | | } ; { |b| } ; {a| | } ; {a| | } ; { |b|c} ; {a| |c} ; { | |c} ; {a|b| } ; { | |c} ; { | |c} ; { |b| } ; {a| |c} ; { |b|c} ; { |b|c} ; { | |c} ; {a|b| } ; {a|b| } ; { |b|c} ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b|c} ; {a| |c} ; { |b| } ; { | |c} ; {a|b|c} ; { |b| } ; {a| | } ; { | | } ; { | |c} ; {a|b|c} ; {a| | } ; {a| |c} ; { | |c} ; {a| | } ; {a| |c} ; {a| |c} ; {a|b|c} ; { | |c} ; {a|b|c} ; { |b| } ; {a| | } ; {a| |c} ; { |b|c} ; { | | } ; { | |c} ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b| } ; {a| | } ; { |b| }
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 10 @ 16 @ 10 @ Ev (Var "a") @ { | | } ; { | | } ; { |b|c} ; { |b| } ; {a|b| } ; {a|b| } ; { | | } ; {a| | } ; {a| |c} ; {a| |c} ; { | |c} ; {a|b|c} ; { | | } ; { |b| } ; {a|b| } ; { | |c} ; { |b|c} ; { |b| } ; {a| |c} ; {a|b| } ; {a| |c} ; { |b| } ; {a|b| } ; { |b|c} ; { |b| } ; { | | } ; { |b|c} ; { | |c} ; {a| | } ; { | | } ; {a| | } ; { |b| } ; {a|b| } ; {a| | } ; {a| |c} ; { | |c} ; {a|b|c} ; { |b|c} ; { | |c} ; { | | } ; {a|b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; { |b| } ; { |b| } ; { | |c} ; {a| |c} ; {a|b| } ; { |b|c} ; { |b|c} ; {a|b| } ; { | |c} ; {a| | } ; { | |c} ; { | |c} ; { |b|c} ; {a|b| } ; { |b|c} ; { |b| } ; { |b|c} ; {a| |c} ; {a| |c} ; { |b|c} ; { | | } ; { |b|c} ; {a|b| } ; { | |c} ; { |b|c} ; { | |c} ; {a| |c} ; { | | } ; { | |c} ; {a| |c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a| | } ; {a| |c} ; {a|b| } ; {a| | } ; {a|b|c} ; { |b| } ; {a|b| } ; { |b|c} ; {a|b| } ; { |b| } ; { | |c} ; {a|b| } ; {a| | } ; { | | } ; { |b| } ; {a| |c} ; {a| | } ; { | |c} ; {a|b| } ; { | | } ; { | |c} ; { | |c} ; { | | } ; {a|b|c}
